Transaction_ID,Date_Time,Branch,Product_Name,Size,Unit_Price,Quantity,Discount_Rate,Topping_Type,Customer_ID,Customer_Age,Customer_Gender,Membership_Status,Payment_Method,Order_Source,Delivery_Time_Min,Delivery_Distance_KM,Staff_ID,Temperature_Celsius,Humidity_Percent,Store_Rating,Is_Public_Holiday,Category,Region,Is_Weekend,Hour_of_Day,Tax_Amount,Total_Sales
106253,2024-03-06 03:00:00,Alex-Stanly,Sweet Koshary Mix,Small,175.65,9,0.05,,69698,51.0,,Bronze,Credit Card,ElMenus,50,8.4,134,22.8,88.7,1.0,0,Signature,Alexandria,0,3,221.32,1723.13
104685,2024-02-18 19:00:00,Cairo-Zamalek,Super B.Laban,Large,67.31,9,0.0,Nuts,89206,45.0,Male,Gold,Instapay,Talabat,89,11.4,142,33.9,20.5,,0,Signature,Greater Cairo,1,19,84.81,690.6
101732,2024-01-19 00:45:00,Alex-Stanly,Sweet Koshary Mix,Medium,178.51,2,0.15,Nutella,71726,,Female,Bronze,Instapay,Talabat,11,6.4,105,40.9,77.0,4.0,0,Signature,Alexandria,1,0,49.98,353.45
104743,2024-02-19 09:30:00,Giza-Zayed,Om Ali Cream,Large,57.95,10,0.0,None,74303,44.0,Female,Bronze,Credit Card,ElMenus,116,12.6,149,28.3,38.0,1.0,0,Traditional,Greater Cairo,0,9,81.13,660.63
104522,2024-02-17 02:15:00,Dubai-Marina,Rice Pudding Nuts,Large,89.67,4,0.0,Nutella,85273,,Male,None,Credit Card,Talabat,105,5.9,117,27.5,29.4,5.0,0,Traditional,UAE,1,2,50.22,408.9
106341,2024-03-07 01:00:00,Cairo-Zamalek,Om Ali Cream,Small,97.22,9,0.0,Nutella,82307,29.0,Male,None,Wallet,Mobile App,45,6.5,111,16.2,80.7,1.0,0,Traditional,Greater Cairo,0,1,122.5,997.48
100577,2024-01-07 00:00:00,Mansoura-Mashaya,Ice Cream Mango,Large,149.61,3,0.05,Lotus,61857,69.0,,Bronze,Instapay,ElMenus,70,14.6,126,15.2,71.0,,0,Ice Cream,Delta,1,0,62.84,489.23
105203,2024-02-24 04:30:00,Alex-Stanly,Qishtouza Nutella,Medium,121.13,3,0.0,Nutella,77915,65.0,Female,None,Instapay,Mobile App,91,13.5,130,34.6,71.6,5.0,0,Modern,Alexandria,1,4,50.87,414.26
106364,2024-03-07 06:45:00,Cairo-Nasr City,Rice Pudding Nuts,Medium,94.9,3,0.0,Nutella,60115,56.0,Male,None,Wallet,Talabat,81,3.3,113,37.7,77.0,3.0,0,Traditional,Greater Cairo,0,6,39.86,324.56
100440,2024-01-05 13:45:00,Alex-Stanly,Om Ali Cream,Medium,47.44,5,0.0,,52914,31.0,Male,None,Instapay,ElMenus,45,14.0,118,26.0,59.6,4.0,0,Traditional,Alexandria,1,13,33.21,270.41
102751,2024-01-29 15:30:00,Giza-Zayed,Sweet Koshary Mix,Small,147.97,4,0.0,Nutella,55933,46.0,Female,Silver,Credit Card,ElMenus,59,8.4,128,40.8,37.0,,0,Signature,Greater Cairo,0,15,82.86,674.74
107488,2024-03-18 23:45:00,Cairo-Nasr City,Sweet Koshary Mix,Medium,151.98,10,0.0,Pistachio,66164,30.0,Female,Gold,Credit Card,Talabat,62,3.7,122,17.0,71.4,5.0,0,Signature,Greater Cairo,0,23,212.77,1732.57
105273,2024-02-24 22:00:00,Cairo-Nasr City,Super B.Laban,Medium,90.4,6,0.0,Lotus,70101,73.0,Male,,Cash,In-store,95,12.3,119,27.8,55.5,1.0,1,Signature,Greater Cairo,1,22,75.94,618.34
105654,2024-02-28 21:15:00,Riyadh-Olaya,Rice Pudding Nuts,Medium,163.55,1,0.0,Lotus,83385,38.0,Male,Gold,Cash,Talabat,25,12.6,138,22.9,66.6,1.0,0,Traditional,KSA,0,21,22.9,186.45
104000,2024-02-11 15:45:00,Tanta-Saeed,Qishtouza Lotus,Large,129.01,5,0.0,Lotus,89274,25.0,Male,Bronze,Wallet,ElMenus,103,9.5,140,27.8,80.5,3.0,0,Modern,Delta,1,15,90.31,735.36
